"DEVICE NUMBER","CREATED ON","UPDATED ON","APP ID","SERVICE CODE","DEVICE NAME","DEVICE TYPE","DEVICE SUB TYPE","STATUS","DNS NAME","DESCRIPTION","PRIMARY IP ADDRESS","PRIMARY MAC ADDRESS","REGION","DISCOVERY ID","LOCATION","LONG DESCRIPTION","MANUFACTURER","MODEL","SERIAL NUMBER","ASSET ID","VENDOR OID","SOFTWARE REVISION","HARDWARE REVISION","FIRMWARE REVISION","MAIN DEVICE NUMBER","POPULATION METHOD","DELETION STATUS"
"GTM66385","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSDHCPSVR02.GAVSTECH.COM.","SRV",,"Active","GAVSDHCPSVR02.GAVSTECH.COM.","Server","10.0.2.250","00:15:5d:02:0b:39","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66384","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSDHCPSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSDHCPSVR01.GAVSTECH.COM.","Server","10.0.2.249","00:15:5d:02:0c:f0","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66383","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSCSQLSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSCSQLSVR01.GAVSTECH.COM.","Server","10.0.2.85","00:15:5d:02:0b:2a","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66382","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSCOMVSVR02.GAVSTECH.COM.","SRV",,"Active","GAVSCOMVSVR02.GAVSTECH.COM.","Server","10.0.2.31","00:15:5d:02:0b:3d","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66381","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSCCMPSSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSCCMPSSVR01.GAVSTECH.COM.","Server","10.0.2.81","00:15:5d:02:0b:3b","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66380","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSCCMDBSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSCCMDBSVR01.GAVSTECH.COM.","Server","10.0.2.80","00:15:5d:02:0b:28","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66379","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSAYEESVR01.gavstech.com.","SRV",,"Active","GAVSAYEESVR01.gavstech.com.","Server","10.0.22.177","00:15:5d:02:15:22","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66378","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSAXTESSVR02.GAVSTECH.COM.","SRV",,"Active","GAVSAXTESSVR02.GAVSTECH.COM.","Server","10.0.36.15","00:15:5d:02:0c:ea","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66377","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSAXDEVSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSAXDEVSVR01.GAVSTECH.COM.","Server","10.0.36.14","00:15:5d:02:0b:33","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66376","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSAXDBSVR02.GAVSTECH.COM.","SRV",,"Active","GAVSAXDBSVR02.GAVSTECH.COM.","Server","10.0.36.13","00:15:5d:02:0b:35","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66375","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSAXDBSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSAXDBSVR01.GAVSTECH.COM.","Server","10.0.36.12","00:15:5d:02:0c:d7","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
"GTM66374","2021-04-16 20:04:17","2021-04-16 20:04:17","ARP",,"GAVSAXAPPSVR01.GAVSTECH.COM.","SRV",,"Active","GAVSAXAPPSVR01.GAVSTECH.COM.","Server","10.0.36.11","00:15:5d:02:0b:2e","DEFAULT","GTMDICV500",,,,,,,,,,,,"ARP",
